爱不爱	aba
八方风雨	bffy
被发拊膺	bffy
变风改俗	bfgs
百沸滚汤	bfgt
变服诡行	bfgx
碧风海岸	bfha
不分好歹	bfhd
八方呼应	bfhy
别风淮雨	bfhy
白发红颜	bfhy
不废江河	bfjh
悲愤交集	bfjj
悲愤兼集	bfjj
把饭叫饥	bfjj
百废俱举	bfjj
避繁就简	bfjj
剥肤及髓	bfjs
百夫决拾	bfjs
百废俱修	bfjx
百废俱兴	bfjx
暴风疾雨	bfjy
百废具作	bfjz
百福具臻	bfjz
不复堪命	bfkm
笔伐口诛	bfkz
八方来财	bflc
北风裂谷	bflg
拨烦理剧	bflj
败法乱纪	bflj
拨烦理乱	bfll
拨烦理难	bfln
白发郎潜	bflq
白费力气	bflq
捕风弄月	bfny
别妇抛雏	bfpc
白发婆娑	bfps
不分青白	bfqb
白饭青刍	bfqc
不乏其人	bfqr
不乏其事	bfqs
白发青衫	bfqs
白发千丈	bfqz
白发千长	bfqz
抱愤入地	bfrd
背腹受敌	bfsd
不分胜负	bfsf
不伏烧埋	bfsm
暴风山脉	bfsm
不乏斯人	bfsr
兵分势弱	bfsr
不发声色	bfss
不服水土	bfst
不负所托	bfst
病风丧心	bfsx
悲愤填膺	bfty
膘肥体壮	bftz
捕风捉影	bfvy
抃风舞润	bfwr
布帆无恙	bfwy
暴风纹章	bfwz
八府巡按	bfxa
百废咸举	bfxj
被发详狂	bfxk
不乏先例	bfxl
白发相守	bfxs
捕风系影	bfxy
不分轩轾	bfxz
博夫营地	bfyd
被发阳狂	bfyk
不分玉石	bfys
变风易俗	bfys
拨风也似	bfys
暴风要塞	bfys
不烦蝇削	bfyx
步伐一致	bfyz
不分皂白	bfzb
八方支持	bfzc
不发之地	bfzd
不费之惠	bfzh
北风之恋	bfzl
暴风之怒	bfzn
不分畛畦	bfzq
剥肤之痛	bfzt
不孚众望	bfzw
不负众望	bfzw
不分畛域	bfzy
八方支援	bfzy
捕风捉影	bfzy
暴风骤雨	bfzy
白发朱颜	bfzy
不扶自直	bfzz
保国安民	bgam
不公不法	bgbf
不尴不尬	bgbg
不管不顾	bgbg
不古不今	bgbj
不干不净	bgbj
毕恭毕敬	bgbj
不瞽不聋	bgbl
秉公办理	bgbl
病国病民	bgbm
本固邦宁	bgbn
必躬必亲	bgbq
敝盖不弃	bgbq
傍观必审	bgbs
不轨不物	bgbw
扒高踩低	bgcd
不甘雌伏	bgcf
不根持论	bgcl
帮狗吃食	bgcs
不顾大局	bgdj
悲歌当哭	bgdk
不共戴天	bgdt
不过尔尔	bgee
不耕而获	bgeh
博观泛览	bgfl
避瓜防李	bgfl
卑宫菲食	bgfs
白骨废墟	bgfx
败梗飞絮	bgfx
比个高低	bggd
不敢告劳	bggl
不敢高攀	bggp
不敢苟同	bggt
比个高下	bggx
不管好赖	bghl
不甘后人	bghr
兵革互兴	bghx
白骨荒野	bghy
杯觥交错	bgjc
百感交乘	bgjc
博关经典	bgjd
百感交集	bgjj
不甘寂寥	bgjl
不甘寂寞	bgjm
闭关绝市	bgjs
抱关击柝	bgjt
伯歌季舞	bgjw
拔锅卷席	bgjx
不关紧要	bgjy
悲歌击筑	bgjz
鞭根块茎	bgkj
悲歌忼慨	bgkk
悲歌慷慨	bgkk
白圭可磨	bgkm
不敢吭声	bgks
变古乱常	bglc
悲观论调	bgld
波光粼粼	bgll
不敢掠美	bglm
布鼓雷门	bglm
傍观冷眼	bgly
白骨露野	bgly
不归零制	bglz
兵革满道	bgmd
秉公灭私	bgms
笔歌墨舞	bgmw
不敢旁骛	bgpw
不敢启齿	bgqc
不顾前后	bgqh
卑躬屈节	bgqj
博观强记	bgqj
不改其乐	bgql
百怪千奇	bgqq
兵戈抢攘	bgqr
拜鬼求神	bgqs
闭关却扫	bgqs
卑躬屈膝	bgqx
变躬迁席	bgqx
卑躬屈已	bgqy
并概青云	bgqy
白骨熔化	bgrh
暴骨如莽	bgrm
兵戈扰攘	bgrr
秉公任直	bgrz
暴骨沙场	bgsc
补过饰非	bgsf
闭关锁国	bgsg
闭阁思过	bgsg
不顾死活	bgsh
杯弓市虎	bgsh
败国丧家	bgsj
白骨碎片	bgsp
博观慎取	bgsq
不甘示弱	bgsr
不顾生死	bgss
兵贵神速	bgss
敝鼓丧豚	bgst
不龟手药	bgsy
杯弓蛇影	bgsy
补过拾遗	bgsy
邦国殄瘁	bgtc
不共天地	bgtd
步罡踏斗	bgtd
博古通今	bgtj
闭关投辖	bgtx
不关痛痒	bgty
不敢问津	bgwj
败国亡家	bgwj
巴高望上	bgws
秉公无私	bgws
备感温馨	bgwx
兵贵先声	bgxs
北郭先生	bgxs
卑躬下士	bgxs
班功行赏	bgxs
稗官小说	bgxs
背公向私	bgxs
背公循私	bgxs
背故向新	bgxx
不苟笑语	bgxy
变古易常	bgyc
变故易常	bgyc
不管一二	bgye
北宫婴儿	bgye
病国殃民	bgym
不顾一切	bgyq
变古易俗	bgys
悲歌易水	bgys
悲观厌世	bgys
稗官野乘	bgys
稗官野史	bgys
背公营私	bgys
笔耕砚田	bgyt
不苟言笑	bgyx
暴骨原野	bgyy
不攻自拔	bgzb
不共之仇	bgzc
不恭之词	bgzc
不敢造次	bgzc
白圭之玷	bgzd
白骨之盾	bgzd
巴高枝儿	bgze
白骨之谷	bgzg
博古知今	bgzj
不攻自溃	bgzk
不根之论	bgzl
病骨支离	bgzl
卑恭自牧	bgzm
百鬼众魅	bgzm
不攻自破	bgzp
败鼓之皮	bgzp
傍观者清	bgzq
杯羹之让	bgzr
白骨再肉	bgzr
保固自守	bgzs
白刚之石	bgzs
闭关自守	bgzs
不根之谈	bgzt
不轨之徒	bgzt
不苟訾笑	bgzx
不根之言	bgzy
抱关之怨	bgzy
抱关执钥	bgzy
不敢自专	bgzz
白骨坠子	bgzz
闭关自主	bgzz
闭阁自责	bgzz
变化不测	bhbc
变幻不测	bhbc
白黑不分	bhbf
白话八股	bhbg
不哼不哈	bhbh
不惑不解	bhbj
陂湖禀量	bhbl
不慌不忙	bhbm
笔画编码	bhbm
变化不穷	bhbq
不荤不素	bhbs
半含不吐	bhbt
不惠不夷	bhby
帮虎吃食	bhcs
抱火厝薪	bhcx
变化多端	bhdd
白黑颠倒	bhdd
百花凋零	bhdl
不遑多让	bhdr
闭户读书	bhds
不欢而别	bheb
比户而封	bhef
不寒而栗	bhel
不寒而慓	bhep
不欢而散	bhes
白黑分明	bhfm
跋扈飞扬	bhfy
庇护法杖	bhfz
别鹤孤鸾	bhgl
白虹贯日	bhgr
比葫画瓢	bhhp
抱恨黄泉	bhhq
八恒河沙	bhhs
悲欢合散	bhhs
薄海欢腾	bhht
白黑混淆	bhhx
碧鬟红袖	bhhx
不怀好意	bhhy
百卉含英	bhhy
避祸就福	bhjf
八荒九垓	bhjg
百堕俱举	bhjj
八花九裂	bhjl
避害就利	bhjl
悲欢聚散	bhjs
避毁就誉	bhjy
比户可封	bhkf
别恨离愁	bhlc
悲欢离合	bhlh
不合逻辑	bhlj
别鹤离鸾	bhll
百喙莫辩	bhmb
笔酣墨饱	bhmb
变化莫测	bhmc
变幻莫测	bhmc
变幻靡常	bhmc
百喙莫辞	bhmc
败坏门风	bhmf
不遑枚举	bhmj
兵荒马乱	bhml
百喙莫明	bhmm
败坏门楣	bhmm
败坏门面	bhmm
百喙难辩	bhnb
不遑宁处	bhnc
百喙难辞	bhnc
宝货难售	bhns
不遑宁息	bhnx
包荒匿瑕	bhnx
暴虎冯河	bhph
不遑启处	bhqc
百花齐放	bhqf
避祸求福	bhqf
百卉千葩	bhqp
抱恨泉壤	bhqr
碧海青天	bhqt
抱火寝薪	bhqx
冰壶秋月	bhqy
笔翰如流	bhrl
鼻鼾如雷	bhrl
变化如神	bhrs
彼何人斯	bhrs
百喙如一	bhry
败化伤风	bhsf
百花盛开	bhsk
傍花随柳	bhsl
冰魂素魄	bhsp
百花生日	bhsr
不合时宜	bhsy
背惠食言	bhsy
八纮同轨	bhtg
薄海腾欢	bhth
白魂头盔	bhtk
变化无常	bhwc
变幻无常	bhwc
变化无方	bhwf
冰火温泉	bhwq
变化无穷	bhwq
变幻无穷	bhwq
抱火卧薪	bhwx
苞含万象	bhwx
碧火小径	bhxj
冰寒雪冷	bhxl
冰魂雪魄	bhxp
不遑暇食	bhxs
冰花雪舞	bhxw
不护细行	bhxx
闭花羞月	bhxy
冰壶玉尺	bhyc
百喙一词	bhyc
冰壑玉壶	bhyh
冰壶玉衡	bhyh
冰寒于水	bhys
变化有时	bhys
波骇云属	bhyz
白毫银针	bhyz
背河一战	bhyz
不讳之变	bhzb
不讳之朝	bhzc
白毫之赐	bhzc
庇护祝福	bhzf
捭阖纵横	bhzh
笔回造化	bhzh
抱虎枕蛟	bhzj
不讳之路	bhzl
庇护治疗	bhzl
璧合珠联	bhzl
不讳之门	bhzm
不惑之年	bhzn
薄寒中人	bhzr
抱撼终身	bhzs
跋扈恣睢	bhzs
抱恨终天	bhzt
抱撼终天	bhzt
八荒之外	bhzw
跋胡疐尾	bhzw
白华之怨	bhzy
百花争妍	bhzy
百花争艳	bhzy
不毁之制	bhzz
背后挚肘	bhzz
跋扈自恣	bhzz
不吃不喝	bibh
兵骄必败	bjbb
半饥半饱	bjbb
不揪不采	bjbc
不矜不伐	bjbf
剥极必复	bjbf
不今不古	bjbg
必敬必恭	bjbg
不饥不寒	bjbh
不间不界	bjbj
半间不界	bjbj
半间半界	bjbj
百举百捷	bjbj
不即不离	bjbl
半斤八两	bjbl
搬斤播两	bjbl
不紧不慢	bjbm
半斤八面	bjbm
比肩并起	bjbq
百举百全	bjbq
不稼不穑	bjbs
不疾不徐	bjbx
半价倍息	bjbx
不矜不盈	bjby
不禁不由	bjby
不觉不知	bjbz
不骄不躁	bjbz
把酒持螯	bjca
败将残兵	bjcb
不拘常次	bjcc
百结愁肠	bjcc
不拘常格	bjcg
把家成人	bjcr
剥茧抽丝	bjcs
避迹藏时	bjcs
饱经沧桑	bjcs
百结鹑衣	bjcy
秉节持重	bjcz
秉钧持轴	bjcz
补苴调胹	bjde
班荆道故	bjdg
比肩叠迹	bjdj
比肩迭迹	bjdj
班荆道旧	bjdj
不假雕镂	bjdl
不近道理	bjdl
冰解的破	bjdp
不假雕饰	bjds
冰解冻释	bjds
不见大体	bjdt
博见多闻	bjdw
伯喈倒屣	bjdx
比肩叠踵	bjdz
秉钧当轴	bjdz
飙举电至	bjdz
不胫而驰	bjec
半济而击	bjej
比肩而立	bjel
不教而杀	bjes
比肩而事	bjes
不教而诛	bjez
不矜而庄	bjez
不胫而走	bjez
不酒而醉	bjez
别具肺肠	bjfc
拜将封侯	bjfh
败将封侯	bjfh
擘肌分理	bjfl
弊绝风清	bjfq
饱经风霜	bjfs
不交付项	bjfx
饱经风雨	bjfy
搏击棍棒	bjgb
苞苴竿牍	bjgd
不见圭角	bjgj
杯酒戈矛	bjgm
白驹过隙	bjgx
苞苴公行	bjgx
薄今厚古	bjhg
苞苴贿赂	bjhl
别具慧眼	bjhy
兵骄将傲	bjja
剥极将复	bjjf
不拘禁忌	bjjj
比肩接迹	bjjj
八街九陌	bjjm
碧鸡金马	bjjm
不惊鸡犬	bjjq
比肩皆是	bjjs
不咎既往	bjjw
别具匠心	bjjx
并疆兼巷	bjjx
不觉技痒	bjjy
兵精将勇	bjjy
杯酒解怨	bjjy
不见经传	bjjz
比肩接踵	bjjz
比肩继踵	bjjz
白驹空谷	bjkg
别具炉锤	bjlc
兵精粮广	bjlg
拔剑论功	bjlg
白袷蓝衫	bjls
背井离乡	bjlx
兵精粮足	bjlz
百金买邻	bjml
变迹埋名	bjmm
笔精墨妙	bjmm
兵精马强	bjmq
败家破业	bjpy
不记前仇	bjqc
别径奇道	bjqd
百计千方	bjqf
败将求和	bjqh
败将求活	bjqh
百计千谋	bjqm
并驾齐驱	bjqq
不计其数	bjqs
博极群书	bjqs
比肩齐声	bjqs
百计千心	bjqx
不及其余	bjqy
博见强志	bjqz
不绝如带	bjrd
不绝如发	bjrf
冰解壤分	bjrf
避井入坎	bjrk
避阱入坑	bjrk
不绝如缕	bjrl
半截入泥	bjrn
不近人情	bjrq
不绝若绳	bjrs
半截入土	bjrt
不绝如线	bjrx
不绝若线	bjrx
不见人下	bjrx
宾饯日月	bjry
饱经世变	bjsb
不经世故	bjsg
饱经世故	bjsg
败绩失据	bjsj
不假思虑	bjsl
不假思量	bjsl
不见森林	bjsl
不拘绳墨	bjsm
不假思索	bjss
避军三舍	bjss
避君三舍	bjss
饱经霜雪	bjsx
别具手眼	bjsy
壁间蛇影	bjsy
比肩随踵	bjsz
奔井投河	bjth
拔角脱距	bjtj
饱经痛苦	bjtk
不见天日	bjtr
不见泰山	bjts
比居同势	bjts
班姬题扇	bjts
败井颓垣	bjty
不解之谜	bjvm
不拘文法	bjwf
保家卫国	bjwg
避迹违心	bjwx
彼竭我盈	bjwy
冰肌雪肠	bjxc
别具心肠	bjxc
百结悬鹑	bjxc
冰肌雪肤	bjxf
白绢斜封	bjxf
不拘小节	bjxj
不拘形迹	bjxj
不拘细节	bjxj
不矜小节	bjxj
补苴罅漏	bjxl
保境息民	bjxm
比肩相亲	bjxq
冰解雪释	bjxs
奔驹朽索	bjxs
不拘细行	bjxx
不矜细行	bjxx
冰肌雪艳	bjxy
比肩系踵	bjxz
别居异财	bjyc
别籍异财	bjyc
不解衣带	bjyd
不绝于耳	bjye
不拘一格	bjyg
冰肌玉骨	bjyg
别具一格	bjyg
波谲云诡	bjyg
杯酒言欢	bjyh
饱经忧患	bjyh
不经意间	bjyj
别籍异居	bjyj
暴君印记	bjyj
饱经忧虑	bjyl
包举宇内	bjyn
冰洁渊清	bjyq
冰洁玉清	bjyq
不经一事	bjys
冰解云散	bjys
不拘一体	bjyt
不拘一涂	bjyt
不假蝇削	bjyx
不见舆薪	bjyx
冰肌玉姿	bjyz
半解一知	bjyz
抱鸡养竹	bjyz
不羁之才	bjzc
不解之仇	bjzc
八角长锤	bjzc
不及之法	bjzf
剥极则复	bjzf
暴君之冠	bjzg
不教之教	bjzj
败军之将	bjzj
败军折将	bjzj
贲军之将	bjzj
必经之路	bjzl
不羁之民	bjzm
兵骄者灭	bjzm
百家争鸣	bjzm
并介之人	bjzr
被坚执锐	bjzr
不经之说	bjzs
不羁之士	bjzs
奔竞之士	bjzs
百金之士	bjzs
薄技在身	bjzs
闭境自守	bjzs
不经之谈	bjzt
不进则退	bjzt
并肩作战	bjzv
不急之务	bjzw
不经之语	bjzy
不解之缘	bjzy
别具只眼	bjzy
并肩作战	bjzz
百家诸子	bjzz
不亢不卑	bkbb
不可辨驳	bkbb
百口不辩	bkbb
不可避免	bkbm
不可逼视	bkbs
闭口捕舌	bkbs
闭口不言	bkby
不可比状	bkbz
不愧不怍	bkbz
闭口藏舌	bkcs
鼻孔朝天	bkct
败寇成王	bkcw
不可多得	bkdd
不可殚举	bkdj
不可抵赖	bkdl
不可端倪	bkdn
不可得详	bkdx
不可动摇	bkdy
拔葵啖枣	bkdz
不可遏止	bkez
不可分割	bkfg
不可方物	bkfw
不可估量	bkgl
不可告人	bkgr
不肯苟同	bkgt
不可忽视	bkhs
不堪回首	bkhs
蚌壳护腕	bkhw
兵靠将带	bkjd
不可究诘	bkjj
悲愧交集	bkjj
悲慨交集	bkjj
不可救疗	bkjl
闭口结舌	bkjs
不可教训	bkjx
不可救药	bkjy
不可揆度	bkkd
不可开交	bkkj
不可抗拒	bkkj
包壳矿石	bkks
辩口利辞	bklc
避坑落井	bklj
辩口利舌	bkls
鼻孔撩天	bklt
不可理喻	bkly
百口莫辩	bkmb
不可枚举	bkmj
不可名目	bkmm
不可名貌	bkmm
不可磨灭	bkmm
宾客满门	bkmm
播糠眯目	bkmm
不可名状	bkmz
不可摸捉	bkmz
百口难辩	bknb
百口难分	bknf
不可奈何	bknh
搬口弄舌	bkns
百口难诉	bkns
不可偏废	bkpf
不可偏弃	bkpq
百孔千疮	bkqc
不可企及	bkqj
不堪其忧	bkqy
冰壸秋月	bkqy
拔葵去织	bkqz
不堪入耳	bkre
不堪人目	bkrm
不堪入目	bkrm
掰开揉碎	bkrs
不可饶恕	bkru
碧空如洗	bkrx
宾客如云	bkry
不可胜道	bksd
不可胜举	bksj
不可胜计	bksj
别开世界	bksj
不可胜论	bksl
别开生路	bksl
别开生面	bksm
不可示弱	bksr
不可收拾	bkss
不可胜数	bkss
不可胜算	bkss
不堪视听	bkst
不堪设想	bksx
病狂丧心	bksx
不可思议	bksy
不可胜用	bksy
不可胜言	bksy
不可胜载	bksz
不可替代	bktd
不可调和	bkth
不可讨究	bktj
宝窟腿甲	bktj
不揆梼昧	bktm
不可同年	bktn
别开町畦	bktq
百口同声	bkts
不可收拾	bkuu
不堪重负	bkvf
不可战胜	bkvu
不可挽回	bkwh
不愧屋漏	bkwl
碧空万里	bkwl
包括万象	bkwx
闭口无言	bkwy
不可向迩	bkxe
别开蹊径	bkxj
百口奚解	bkxj
不可限量	bkxl
不可悉数	bkxs
不愧下学	bkxx
不可轩轾	bkxz
不可言传	bkyc
别开一格	bkyg
不可预见	bkyj
不堪一击	bkyj
宾客盈门	bkym
不可一世	bkys
不肯一世	bkys
拔葵饮水	bkys
不可一世	bkyu
不可言宣	bkyx
不可移易	bkyy
不可言喻	bkyy
不可逾越	bkyy
不可言状	bkyz
不堪言状	bkyz
不克自拔	bkzb
不刊之笔	bkzb
不可造次	bkzc
不刊之典	bkzd
不堪卒读	bkzd
不刊之法	bkzf
不刊之范	bkzf
碧空之歌	bkzg
不堪之患	bkzh
不堪造就	bkzj
不刊之论	bkzl
不可捉摸	bkzm
不可终日	bkzr
不刊之书	bkzs
不刊之说	bkzs
不可指数	bkzs
不刊之训	bkzx
不刊之语	bkzy
不克自振	bkzz
不刊之作	bkzz
不刊之则	bkzz
步履安详	blax
壁里安柱	blaz
并立不悖	blbb
不了不当	blbd
不落边际	blbj
八两半斤	blbj
不伦不类	blbl
不伶不俐	blbl
不零不落	blbl
半零不落	blbl
百伶百俐	blbl
被丽被离	blbl
变来变去	blbq
跋来报去	blbq
不冷不热	blbr
不凉不酸	blbs
变脸变色	blbs
拔来报往	blbw
跋来报往	blbw
不郎不秀	blbx
奔流不息	blbx
鄙吝冰消	blbx
不稂不莠	blby
百灵百验	blby
表里不一	blby
不磷不缁	blbz
鞭鵉笞凤	blcf
鞭麟笞凤	blcf
百炼成刚	blcg
百炼成钢	blcg
败柳残花	blch
鬓乱钗横	blch
不吝赐教	blcj
半路出家	blcj
败鳞残甲	blcj
必里迟离	blcl
伯虑愁眠	blcm
拔类超群	blcq
不露辞色	blcs
包揽词讼	blcs
卑论侪俗	blcs
比类从事	blcs
兵临城下	blcx
鬓乱钗斜	blcx
笔力独扛	bldk
变乱迭起	bldq
碧蓝雕像	bldx
不劳而成	blec
博拉尔德	bled
不劳而获	bleh
不了而了	blel
不劳而食	bles
博浪飞椎	blfc
变乱纷乘	blfc
百里风趠	blfc
扳龙附凤	blff
不露斧斤	blfj
不露锋芒	blfm
别类分门	blfm
壁垒分明	blfm
鄙吝复萌	blfm
不良法术	blfs
饱历风霜	blfs
不劣方头	blft
擘两分星	blfx
伯劳飞燕	blfy
避凉附炎	blfy
拨乱反正	blfz
拨乱反治	blfz
白领犯罪	blfz
笔力扛鼎	blgd
笔力杠鼎	blgd
碧磷鬼火	blgh
不露圭角	blgj
博览古今	blgj
补牢顾犬	blgq
碧蓝岗哨	blgs
卑礼厚币	blhb
笔力回春	blhc
暴敛横坟	blhf
暴敛横赋	blhf
兵连祸结	blhj
碧蓝护肩	blhj
碧落黄泉	blhq
兵连祸深	blhs
表里河山	blhs
暴敛横征	blhz
兵离将败	bljb
表里精粗	bljc
兵来将挡	bljd
兵来将敌	bljd
兵老将骄	bljj
步履矫健	bljj
拨乱济时	bljs
拨乱济危	bljw
步履艰辛	bljx
兵来将迎	bljy
避劳就逸	bljy
波澜开阖	blkh
不落窠臼	blkj
波澜老成	bllc
筚路蓝缕	blll
荜露蓝蒌	blll
百两烂盈	blly
不了了之	bllz
暴露目标	blmb
白蜡明经	blmj
本来面目	blmm
波流茅靡	blmm
百龄眉寿	blms
笔老墨秀	blmx
兵乱年荒	blnh
白露凝霜	blns
壁垒披风	blpf
白龙皮盔	blpk
步履蹒跚	blps
百了千当	blqd
波澜起伏	blqf
比量齐观	blqg
不落蹊径	blqj
笔力遒劲	blqj
鄙俚浅陋	blql
壁立千仞	blqr
博览群书	blqs
步履如飞	blrf
宾来如归	blrg
不落人后	blrh
白浪如山	blrs
髀里肉生	blrs
表里如一	blry
博览书传	blsc
跋履山川	blsc
表里受敌	blsd
饱练世故	blsg
傍柳随花	blsh
波罗奢花	blsh
表里山河	blsh
暴露伤口	blsk
抱令守律	blsl
变乱四起	blsq
不露声色	blss
不露神色	blss
不落俗套	blst
白狼手套	blst
波罗塞戏	blsx
壁垒森严	blsy
百灵上衣	blsy
报李投桃	bltt
白浪滔天	bltt
毕力同心	bltx
百里挑一	blty
卑陋龌龊	blwc
博览五车	blwc
逼良为娼	blwc
白龙微服	blwf
包罗万汇	blwh
步履维艰	blwj
笔力万钧	blwj
表里为奸	blwj
悖理违情	blwq
壁立万仞	blwr
冰冷无味	blww
包罗万象	blwx
苞笼万象	blwx
别来无恙	blwy
包罗万有	blwy
暴露无遗	blwy
不立文字	blwz
拨乱为治	blwz
表里相符	blxf
避李嫌瓜	blxg
表里相合	blxh
碧鳞胸甲	blxj
表里相济	blxj
宝蓝项链	blxl
白霖项链	blxl
伯乐相马	blxm
不露形色	blxs
白浪掀天	blxt
半路修行	blxx
表里相依	blxy
表里相应	blxy
拨乱兴治	blxz
不留余地	blyd
碧蓝腰带	blyd
白龙鱼服	blyf
伯乐一顾	blyg
变醨养瘠	blyj
百六阳九	blyj
宝蓝腰佩	blyp
不落言筌	blyq
暴雷也似	blys
碧蓝钥匙	blys
百里异习	blyx
鄙吝意消	blyx
不论秧子	blyz
百虑一致	blyz
表里一致	blyz
拨乱诛暴	blzb
拨乱之才	blzc
璧联珠灿	blzc
百里之才	blzc
伯乐之顾	blzg
百练之钢	blzg
百六之会	blzh
笔力纵横	blzh
不吝指教	blzj
兵连众结	blzj
堡垒主机	blzj
表里作奸	blzj
波澜壮阔	blzk
波路壮阔	blzk
不了自了	blzl
百里之命	blzm
不落畛畦	blzq
暴戾之气	blzq
百里之任	blzr
暴戾恣睢	blzs
葆力之士	blzs
跛驴之伍	blzw
霸陵醉尉	blzw
帮懒钻闲	blzx
百虑攒心	blzx
不吝珠玉	blzy
百龙之智	blzz
不明不暗	bmba
不忙不暴	bmbb
不明不白	bmbb
闭门不出	bmbc
半明不灭	bmbm
闭门不纳	bmbn
半面不忘	bmbw
半梦半醒	bmbx
背盟败约	bmby
不蔓不枝	bmbz
北面称臣	bmcc
白眉赤脸	bmcl
病魔缠身	bmcs
白眉赤眼	bmcy
宝马雕车	bmdc
不明道理	bmdl
闭门读书	bmds
本末倒置	bmdv
不明底蕴	bmdy
本末倒置	bmdz
不谋而合	bmeh
不谋而同	bmet
不谋而信	bmex
保密防谍	bmfd
弁髦法纪	bmfj
百马伐骥	bmfj
别名分析	bmfx
筚门圭窦	bmgd
筚门闺窦	bmgd
荜门圭窦	bmgd
病民蛊国	bmgg
北门管键	bmgj
笔墨官司	bmgs
北门管钥	bmgy
筚门圭窬	bmgy
病民害国	bmhg
闭门酣歌	bmhg
不免虎口	bmhk
白旄黄钺	bmhy
笔墨横姿	bmhz
闭门合辙	bmhz
八面见光	bmjg
闭门墐户	bmjh
兵马精强	bmjq
薄命佳人	bmjr
拔毛济世	bmjs
白马缰绳	bmjs
八面见线	bmjx
兵马倥偬	bmkz
八面玲珑	bmll
北芒垒垒	bmll
拔毛连茹	bmlr
拔茅连茹	bmlr
鞭墓戮尸	bmls
荜门陋巷	bmlx
比目连枝	bmlz
闭门觅句	bmmj
班门弄斧	bmnf
北门南牙	bmny
筚门蓬户	bmph
荜门蓬户	bmph
闭门却轨	bmqg
百媚千娇	bmqj
百谋千计	bmqj
闭门却扫	bmqs
闭门潜思	bmqs
不谋其政	bmqz
班门取罪	bmqz
白面儒冠	bmrg
白面儒生	bmrs
白马素车	bmsc
闭明塞聪	bmsc
闭目塞聪	bmsc
八面受敌	bmsd
比目双刀	bmsd
败名失德	bmsd
闭门塞窦	bmsd
闭目塞耳	bmse
八面驶风	bmsf
北门哨岗	bmsg
闭门思过	bmsg
闭门扫轨	bmsg
闭门塞户	bmsh
闭门扫迹	bmsj
不明事理	bmsl
不谋私利	bmsl
白面书郎	bmsl
闭门思愆	bmsq
白面书生	bmss
闭目塞听	bmst
不明所以	bmsy
北门锁钥	bmsy
不谋同辞	bmtc
闭门投辖	bmtx
拔苗助长	bmvv
兵马未动	bmwd
八面威风	bmwf
八门五花	bmwh
荜门委巷	bmwx
疤麻歪嘴	bmwz
表面文章	bmwz
宝马香车	bmxc
不灭信仰	bmxy
八面莹澈	bmyc
蔽美扬恶	bmye
闭目掩耳	bmye
不名一格	bmyg
傍门依户	bmyh
本末源流	bmyl
不名一钱	bmyq
百密一疏	bmys
八面圆通	bmyt
不名一文	bmyw
变名易姓	bmyx
避面尹邢	bmyx
薄暮之锤	bmzc
闭门造车	bmzc
不毛之地	bmzd
不牧之地	bmzd
北门之管	bmzg
摽末之功	bmzg
摽梅之候	bmzh
闭门造车	bmzi
北门之寄	bmzj
半面之交	bmzj
半面之旧	bmzj
杯茗之敬	bmzj
八面张罗	bmzl
笔墨之林	bmzl
闭门斫轮	bmzl
摽梅之年	bmzn
半面之识	bmzs
暴慢恣睢	bmzs
本末终始	bmzs
闭门自守	bmzs
北门之叹	bmzt
半面之雅	bmzy
秉旄仗钺	bmzy
拔苗助长	bmzz
逋慢之罪	bmzz
比年不登	bnbd
百能百俐	bnbl
不挠不屈	bnbq
百年不遇	bnby
不挠不折	bnbz
百鸟朝凤	bncf
鞭驽策蹇	bncj
不能出口	bnck
不能持论	bncl
百年大计	bndj
百年到老	bndl
百年大业	bndy
不能反躬	bnfg
暴虐浮躁	bnfz
避难谷地	bngd
百年好合	bnhh
兵拏祸结	bnhj
百念灰冷	bnhl
百年好事	bnhs
不念旧恶	bnje
百念皆灰	bnjh
不能己己	bnjj
百念俱冷	bnjl
不能尽数	bnjs
避难就易	bnjy
聛睨窥觎	bnky
暴内陵外	bnlw
百年难遇	bnny
避难趋易	bnqy
不能容物	bnrw
保纳舍藏	bnsc
搬弄是非	bnsf
播弄是非	bnsf
不能善后	bnsh
百年树人	bnsr
不能胜数	bnss
避溺山隅	bnsy
饱暖思淫	bnsy
饱暖生淫	bnsy
八难三灾	bnsz
暴怒图腾	bntt
聛睨物表	bnwb
暴虐无道	bnwd
不能忘怀	bnwh
不能忘情	bnwq
不宁唯是	bnws
笨鸟先飞	bnxf
百年偕老	bnxl
聛睨一切	bnyq
暴怒药水	bnys
聛睨一世	bnys
不能自保	bnzb
不能自拔	bnzb
百年之柄	bnzb
不奈之何	bnzh
百年之后	bnzh
百年之好	bnzh
百年之欢	bnzh
不能自给	bnzj
伯牛之疾	bnzj
搏牛之虻	bnzm
不能自食	bnzs
不能自休	bnzx
不能自已	bnzy
百年之业	bnzy
百年之约	bnzy
不能自主	bnzz
不能自制	bnzz
冰瓯雪椀	boxw
不偏不党	bpbd
不破不立	bpbl
不偏不徇	bpbx
不偏不倚	bpby
剥皮抽筋	bpcj
哺粕啜醨	bpcl
便辟侧媚	bpcm
宾朋成市	bpcs
绷爬吊拷	bpdk
不平而鸣	bpem
波平风静	bpfj
抱朴寡欲	bpgy
抱朴含真	bphz
补偏救弊	bpjb
鞭辟近里	bpjl
杯盘狼藉	bplj
波平浪静	bplj
宾朋满座	bpmz
并辔齐驱	bpqq
百品千条	bpqt
